Representative,Years Served,Party
George Partridge,1789-1790,Pro-Administration
Jonathan Grout,1789-1791,Anti-Administration
Elbridge Gerry,1789-1793,Anti-Administration
George Leonard,1789-1793 and 1795-1797,Pro-Administration
Benjamin Goodhue,1789-1796,Pro-Administration
Theodore Sedgwick,1789-1796 and 1799-1801,Pro-Administration
Fisher Ames,1789-1797,Pro-Administration
George Thatcher,1789-1801,Pro-Administration
Shearjashub Bourne,1791-1795,Pro-Administration
Artemas Ward,1791-1795,Pro-Administration
David Cobb,1793-1795,Pro-Administration
"Peleg Coffin, Jr.",1793-1795,Pro-Administration
Samuel Dexter,1793-1795,Pro-Administration
Samuel Holten,1793-1795,Anti-Administration
Henry Dearborn,1793-1797,Anti-Administration
William Lyman,1793-1797,Anti-Administration
Dwight Foster,1793-1800,Pro-Administration
Peleg Wadsworth,1793-1807,Pro-Administration
Theophilus Bradbury,1795-1797,Federalist
"Nathaniel Freeman, Jr.",1795-1799,Democratic-Republican
Samuel Lyman,1795-1800,Federalist
"John Reed, Sr.",1795-1801,Federalist
Joseph Bradley Varnum,1795-1811,Democratic-Republican
Samuel Sewall,1796-1800,Federalist
Stephen Bullock,1797-1799,Federalist
Isaac Parker,1797-1799,Federalist
Thomson J. Skinner,1797-1799 and 1803-1804,Democratic-Republican
Harrison Gray Otis,1797-1801,Federalist
Bailey Bartlett,1797-1801,Federalist
William Shepard,1797-1803,Federalist
Silas Lee,1799-1801,Federalist
Lemuel Williams,1799-1805,Federalist
Phanuel Bishop,1799-1807,Democratic-Republican
